nme_product,nme_target_scientific,nme_target,nme_crop,num_applic_dosage_min,num_applic_dosage_max,dsc_unit_mesure,dsc_applic_period,num_grace_period,,,,,,,,,,,,,,,
Alika®,Bemisia tabaci,Mosca blanca,Tomate,0.1,0,L/100 L de água,Asegurar una dosis mínima de 0,8 L/ha. Aplicar con un nivel de 2 moscas adultas por hoja.,,,,,,,,,,,,,,,
Alika®,Bemisia tabaci,Mosca blanca,Papa,0.2,0,L/ha,Aplicar al detectar la presencia de la plaga.,,,,,,,,,,,,,,,,
Alika®,Bemisia tabaci,Mosca blanca,Algodón,0.2,0,L/ha,Aplicar cuando se detecte un promedio de 5 individuos (ninfas o adultos) en la cuarta hoja totalmente desarrollada del cultivo.,,,,,,,,,,,,,,,,
Alika®,Cydia molesta,Polilla del duraznero,Durazno,0.05,0,L/100 L de água*,*Adicionar 0,5 L/100 L de agua de aceite mineral refinado 90% p/v(ACEITE AGRÍCOLA SYNGENTA). Lograr una dosis mínima de 0,75 L/ha. Aplicar siguiendo las recomendaciones del sistema de alarma.,,,,,,,,,,,,,,
Alika®,Thrips tabaci,Trips,Cebolla,0.2,0,L/ha,Aplicar cuando se observe un promedio de 5 individuos por hoja.,,,,,,,,,,,,,,,,
Alika®,Thrips tabaci,Trips,Pastura,0.2,0,L/ha,Aplicar cuando se observen más de 4 individuos (ninfas o adultos) por hoja. En caso de altas presiones de trips, utilizar la dosis mayor.,,,,,,,,,,,,,,,
Alika®,Bemisia spp,Mosca blanca,Poroto,0.2,0,L/ha,Aplicar al inicio de la infestación. Reaplicar a los 7 días. No aplicar más de 3 veces por ciclo de cultivo.,,,,,,,,,,,,,,,,
Alika®,Saissetia oleae,Cochinilla hache,Olivo,0.1,0,L/100 L de água*,*Lograr una dosis mínima de 2 l/ha. Aplicar al detectar la primera migración de ninfas.,,,,,,,,,,,,,,,,
Allegro®,Erysiphe graminis,Oidio ,Trigo,1,0,L/ha,Aplicar ante la aparición de los primeros síntomas o preventivamente en Zadocks 39.,,,,,,,,,,,,,,,,
Allegro®,Rhizoctonia solani,Tizón de la vaina,Arroz,1,0,L/ha,Aplicar preventivamente desde embuche hasta comienzo de emergencia de las panojas, si hay condiciones predisponentes para las enfermedades, o ante la aparición de los primeros síntomas. Utilizar la dosis mayor en caso de alta presión de las enfermedades.,,,,,,,,,,,,,,
Allegro®,Rhizoctonia oryzae,Mancha de tallo y vaina,Arroz,1,0,L/ha,Aplicar preventivamente desde embuche hasta comienzo de emergencia de las panojas, si hay condiciones predisponentes para las enfermedades, o ante la aparición de los primeros síntomas. Utilizar la dosis mayor en caso de alta presión de las enfermedades.,,,,,,,,,,,,,,
Allegro®,Drechslera teres,Mancha en red,Cebada,1,0,L/ha,Aplicar ante la aparición de los primeros síntomas.,,,,,,,,,,,,,,,,
Arsenal® Forestal,Conyza bonariensis,Rama negra,Alambrados y áreas no cultivadas ,1.6,2,Lt/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal,Polygonum aviculare,Sanguinaria ,Alambrados y áreas no cultivadas ,1.6,2,Lt/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal,Digitaria sanguinalis,Pasto cuaresma,Pino taeda,0.75,1,Lt/ha,Dejar transcurrir, entre la aplicación y la plantación, un período de 15-30 días (no plantar si no ha transcurrido un período mínimo de 15 días luego de la aplicación). Aplicar en suelo preparado, con maleza emergida y listo para ser plantado. Recomendación de uso: aplicar en postemergencia de las malezas y preplantación del cultivo de pino taeda. Esta recomendación está destinada a la zona de Misiones y norte de Corrientes, que se caracteriza por presentar suelos arcillosos, de PH ácido, bien drenados y de color rojo intenso.,,,,,,,,,,
Arsenal® Forestal,Digitaria sanguinalis,Pasto cuaresma,Alambrados y áreas no cultivadas ,1.6,2,Lt/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal,Echinochloa crus-galli,Capín arroz,Alambrados y áreas no cultivadas ,1.6,2,Lt/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal,Datura ferox,Chamico,Alambrados y áreas no cultivadas ,1.6,2,Lt/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal,Brassica campestris,Nabo,Alambrados y áreas no cultivadas ,1.6,2,Lt/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal,Tagetes minuta,Chinchilla,Alambrados y áreas no cultivadas ,1.6,2,Lt/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal,Alambrados y áreas no cultivadas,Alambrados y áreas no cultivadas,Higiene ambiental,1.6,2,Lt/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal DF,Conyza bonariensis,Rama negra,Alambrados y áreas no cultivadas ,1,2.5,kg/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal DF,Polygonum aviculare,Sanguinaria ,Alambrados y áreas no cultivadas ,1,2.5,kg/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal DF,Digitaria sanguinalis,Pasto cuaresma,Pino taeda,0.25,0.5,Kg/ha,1 bolsa hidrosoluble por ha. Dejar transcurrir, entre la aplicación y la plantación, un período de 15-30 días (no plantar si no ha transcurrido un período mínimo de 15 días luego de la aplicación). Aplicar en suelo preparado, con maleza emergida y listo para ser plantado. Recomendación de uso: Aplicar en postemergencia de las malezas y preplantación del cultivo de pino taeda. Esta recomendación está destinada a la zona de Misiones y norte de Corrientes, que se caracteriza por presentar suelos arcillosos, de PH ácido, bien drenados y de color rojo intenso.  Para acceder a estrategias especificas con nuestros productos consultar a: ambiental-ar@basf.com  ,,,,,,,,,,
Arsenal® Forestal DF,Digitaria sanguinalis,Pasto cuaresma,Alambrados y áreas no cultivadas ,1,2.5,kg/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal DF,Echinochloa crus-galli,Capín arroz,Alambrados y áreas no cultivadas ,1,2.5,kg/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal DF,Datura ferox,Chamico,Alambrados y áreas no cultivadas ,1,2.5,kg/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal DF,Brassica campestris,Nabo,Alambrados y áreas no cultivadas ,1,2.5,kg/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal DF,Tagetes minuta,Chinchilla,Alambrados y áreas no cultivadas ,1,2.5,kg/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vias ferreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Arsenal® Forestal DF,Alambrados y áreas no cultivadas,Alambrados y áreas no cultivadas,Higiene ambiental,1,1.25,kg/ha,"Aplicar en forma general en áreas no cultivadas como alambrados, vías férreas, caminos. Para una máxima actividad, las malezas deben encontrarse en proceso de crecimiento vigoroso al momento de la aplicación. Los mejores resultados se observan al cortar previamente las malezas y efectuar la aplicación cuando éstas reinicien su desarrollo. Un buen desarrollo foliar permite una mejor absorción del herbicida. Clorosis, necrosis de los tejidos pueden no ser aparentes en algunas especies hasta dos semanas después de la aplicación; también la muerte de las plantas puede tardar varias semanas.",,,,,,,,,,,,,,,,
Atectra® BV,Conyza bonariensis,Rama negra,Caña de azúcar,0.2,0.4,L/ha*,*Adicionar  1,04-2,08 l/ha de 2,4D (sal amina 72% p/v). Requieren las dosis mayores de ambos productos en mezcla. En especies del genero Cyperus spp, con la aplicación se logra eliminar la parte aérea y los órganos primarios de difusión, evitando la competencia en los primeros estados del cultivo, aunque no haya un control total de la maleza.,,,,,,,,,,
Atectra® BV,Polygonum aviculare,Sanguinaria ,Soja,300,0,CC/ha*,*Adicionar Glifosato Premiuna base desal potásica(1080 gr ia/ha)+ esteres metílicosde aceitevegetal 1%. Malezas con tamaño menor a 10 cm de altura o roseta menor a 10 cm de diámetro según corresponda.,,,,,,,,,,,,,,,,
Atectra® BV,Polygonum aviculare,Sanguinaria ,Avena,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Polygonum aviculare,Sanguinaria ,Cebada,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Polygonum aviculare,Sanguinaria ,Maíz,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v).   ,,,,,,,,,,,,,
Atectra® BV,Polygonum aviculare,Sanguinaria ,Sorgo,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Polygonum aviculare,Sanguinaria ,Trigo,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Salsola kali,Cardo ruso,Avena,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Salsola kali,Cardo ruso,Cebada,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Salsola kali,Cardo ruso,Maíz,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Salsola kali,Cardo ruso,Sorgo,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Salsola kali,Cardo ruso,Trigo,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Datura ferox,Chamico,Avena,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Datura ferox,Chamico,Cebada,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Datura ferox,Chamico,Maíz,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Datura ferox,Chamico,Sorgo,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Datura ferox,Chamico,Trigo,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Brassica campestris,Nabo,Soja,300,0,CC/ha*,*Adicionar Glifosato Premiuna base desal potásica(1080 gr ia/ha)+ esteres metílicosde aceitevegetal 1%. Malezas con tamaño menor a 10 cm de altura o roseta menor a 10 cm de diámetro según corresponda.,,,,,,,,,,,,,,,,
Atectra® BV,Brassica campestris,Nabo,Avena,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Brassica campestris,Nabo,Cebada,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Brassica campestris,Nabo,Maíz,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Brassica campestris,Nabo,Sorgo,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Brassica campestris,Nabo,Trigo,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Chenopodium quinoa,Quinoa,Soja,300,0,CC/ha*,*Adicionar Glifosato Premiuna base desal potásica(1080 gr ia/ha)+ esteres metílicosde aceitevegetal 1%. Malezas con tamaño menor a 10 cm de altura o roseta menor a 10 cm de diámetro según corresponda.,,,,,,,,,,,,,,,,
Atectra® BV,Chenopodium quinoa,Quinoa,Avena,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Chenopodium quinoa,Quinoa,Cebada,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Chenopodium quinoa,Quinoa,Maíz,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Chenopodium quinoa,Quinoa,Sorgo,0.15,0.2,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Chenopodium quinoa,Quinoa,Trigo,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v). ,,,,,,,,,,,,,
Atectra® BV,Sida rhombifolia,Afata,Caña de azúcar,0.2,0.4,L/ha*,*Adicionar  1,04-2,08 l/ha de 2,4D (sal amina 72% p/v). Requieren las dosis mayores de ambos productos en mezcla. En especies del genero Cyperus spp, con la aplicación se logra eliminar la parte aérea y los órganos primarios de difusión, evitando la competencia en los primeros estados del cultivo, aunque no haya un control total de la maleza.,,,,,,,,,,
Atectra® BV,Sonchus oleraceus,Cerraja,Soja,500,0,CC/ha*,*Adicionar Glifosato Premiuna base desal potásica(1080 gr ia/ha)+ esteres metílicosde aceitevegetal 1%. Malezas con tamaño menor a 10 cm de altura o roseta menor a 10 cm de diámetro según corresponda.,,,,,,,,,,,,,,,,
Atectra® BV,Wedelia glauca,Sunchillo,Caña de azúcar,0.2,0.4,L/ha*,*Adicionar  1,04-2,08 L/ha de 2,4D (sal amina 72% p/v). Requieren las dosis mayores de ambos productos en mezcla. En especies del genero Cyperus spp, con la aplicación se logra eliminar la parte aérea y los órganos primarios de difusión, evitando la competencia en los primeros estados del cultivo, aunque no haya un control total de la maleza. ,,,,,,,,,,
Atectra® BV,Amaranthus hybridus,Yuyo colorado,Avena,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v).,,,,,,,,,,,,,
Atectra® BV,Amaranthus hybridus,Yuyo colorado,Cebada,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v).,,,,,,,,,,,,,
Atectra® BV,Amaranthus hybridus,Yuyo colorado,Maíz,0.15,0.2,L/ha*,*Adicionar 0,24-0,32 l/ha de 2,4D (ester butírico 100% p/v).,,,,,,,,,,,,,
Atectra® BV,Amaranthus hybridus,Yuyo colorado,Sorgo,0.15,0.2,L/ha*,*Adicionar 0,24-0,32 l/ha de 2,4D (ester butírico 100% p/v).,,,,,,,,,,,,,
Atectra® BV,Amaranthus hybridus,Yuyo colorado,Trigo,0.1,0.15,L/ha*,*Adicionar  0,24-0,32 l/ha de 2,4D (éster butírico 100% p/v).,,,,,,,,,,,,,
Aura®,Digitaria sanguinalis,Pasto cuaresma,Arroz,0.87,0,L/ha*,*Adicionar Dash® HC al 0,5 % (500 cm3/100 l de caldo de pulverización). Aplicar desde 4ª hoja hasta 2º macollo. Estado de desarollo del arroz: A partir de 4ª hoja y en activo crecimiento.,,,,,,,,,,,,,,,
Aura®,Echinochloa crus-galli,Capín arroz,Arroz,0.87,0,L/ha*,*Adicionar Dash® HC al 0,5 % (500 cm3/100 l de caldo de pulverización). Aplicar desde 4ª hoja hasta 4º macollo. Estado de desarollo del arroz: A partir de 4ª hoja y en activo crecimiento.,,,,,,,,,,,,,,,
Basagran 60,Datura ferox,Chamico,Maní,1.6,0,L/ha,Aplicar a partir de la 1ª-3ª hoja verdadera del cultivo.,,,,,,,,,,,,,,,,
Basagran 60,Brassica campestris,Nabo,Soja,1,0,L/ha,Para las malezas que quedan luego de una aplicación de un herbicida de presiembra incorporado o preemergente (excepto Chinchilla y Bejuco).,,,,,,,,,,,,,,,,
Basagran 60,Sida rhombifolia,Afata,Arroz,1.4,0,L/ha*,*Adicionar 450 cm3/ha de MCPA (28 %) + 4 l/ha de propanil (36%). Para el control de ciperáceas y malezas de hoja ancha, aplicar con 5-8 hojas de desarrollo (sin gramíneas).,,,,,,,,,,,,,,,
Basagran 60,Tagetes minuta,Chinchilla,Maní,1.6,0,L/ha*,Aplicar a partir de la 1ª-3ª hoja verdadera del cultivo.,,,,,,,,,,,,,,,,
Basagran 60,Polygonum convolvulus,Enredadera anual,Papa,1.2,0,L/ha,Aplicar a partir de la 1ª hoja verdadera del cultivo hasta floración. Para malezas como Nabo, Nabón, Chamico y Mostacilla, hasta el estado de 4ª hoja.,,,,,,,,,,,,,
Basagran 60,Silene gallica,Calabacilla,Cebolla,1.6,0,L/ha,Aplicar a partir de la 3ª hoja.,,,,,,,,,,,,,,,,
Basagran 60,Silene gallica,Calabacilla,Espárrago,1.6,0,L/ha,Aplicar en cultivos establecidos cuando las malezas tengan 3-4 hojas. Se puede aplicar en las siguientes variedades: argentouil (violeta) y palmeto (blanco).,,,,,,,,,,,,,,,,
Basagran 60,Stellaria media,Capiquí ,Lino,1.6,0,L/ha,Aplicar a partir de la 2ª-3ª hoja del cultivo.,,,,,,,,,,,,,,,,
Basagran 60,Capsella bursa pastoris,Bolsa de pastor ,Césped,1.6,0,L/ha,Aplicar a partir de la 2ª-3ª hoja del cultivo.,,,,,,,,,,,,,,,,
